Emotion,Label
aman,+
ambisius,+
antusias,+
asik,+
asmara,+
bahagia,+
bangga,+
berahi,+
berani,+
berdaya,+
berharga,+
berhasil,+
berterimakasih,+
besar hati,+
bijaksana,+
buai,+
cerdas,+
ceria,+
cinta,+
cium,+
damai,+
demen,+
dinamis,+
dorong,+
edan,+
enak,+
fokus,+
gairah,+
gembira,+
gemilang,+
getar hati,+
gigih,+
girang,+
hasrat,+
hebat,+
hibur,+
hidup,+
inspirasi,+
jamin,+
juang,+
kagum,+
kangen,+
kasih,+
kasih sayang ,+
kasmaran,+
kaya,+
keren,+
kesiap,+
kreatif,+
kuat,+
lega sekali,+
limpah,+
mantap,+
mesra,+
nawan,+
nyaman,+
optimis,+
perasaan,+
percaya,+
percaya diri,+
pesona,+
pikat,+
pingin,+
pintar,+
praktis,+
puas,+
pukau,+
rajin,+
rangsang,+
rendah hati,+
riang gembira,+
rindu,+
sabar,+
santai,+
sayang,+
sehat,+
semangat,+
senang,+
senyum,+
setia,+
siap,+
suka,+
suka cita,+
sukaria,+
syukur,+
tabah,+
takjub,+
tarik,+
tawa,+
tekun,+
tenang,+
tenteram,+
tepati,+
terima,+
dermawan,+
acuh,-
benci,-
berantakan,-
berat hati,-
bimbang,-
bingung,-
bodoh,-
bosan,-
cemas,-
cemburu,-
curiga,-
dendam,-
dengki,-
dongkol,-
duka,-
dukacita,-
egois,-
emosi,-
frustasi,-
galau,-
gangguan,-
gelisah,-
gemas,-
gentar,-
geram,-
gila,-
goblok,-
gundah,-
tidak,-
hambar,-
hancur,-
haru,-
tidak,-
ingkar,-
iri,-
jahat,-
jengkel,-
jenuh,-
jijik,-
kacau,-
kalap,-
kalut,-
kasian,-
kecewa,-
kecil hati,-
kesal,-
khawatir,-
khianat,-
lalai,-
lelah,-
lemah,-
lesu,-
luka,-
lupa,-
lusuh,-
malas,-
malu,-
marah,-
mati,-
melarat,-
merana,-
miskin,-
murka,-
murung,-
naik darah,-
nangis,-
ngambek,-
panas hati,-
patah hati,-
pedih hati,-
pilu,-
putus asa,-
putus harapan,-
ragu,-
remuk hati,-
ribet,-
risau,-
rusak,-
rusuh,-
sakit hati,-
salah,-
sebal,-
sedih,-
selingkuh,-
sendu,-
sesal,-
singgung,-
syok,-
takut,-
tidak,-
tindas,-
tinggi hati,-
tolak,-
waswas,-
bajing,-
